ID,DATE1,AGE1,GENDER,DQ1,DQ2,DQ3R,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQSCORE1,DATE2,DQ1_2,DQ2_2,DQ3R_2,DQ4_2,DQ5_2,DQ6_2,DQ7_2,DQ8_2,DQ9_2,DQ10_2,DQ11_2,DQ12_2,DQ13_2,DQ14_2,DQ15_2,DQ16_2,DQ17_2,DQ18_2,DQSCORE2,TIMEDIFFDAYS
140,10-Oct-18,23,2,4,2,2,1,1,4,2,1,2,1,1,5,2,2,2,2,2,2,38,13-Nov-18,4,2,2,3,2,3,2,1,2,2,1,4,3,4,4,3,4,3,49,34
141,11-Oct-18,39,2,4,3,1,2,1,2,4,4,4,2,3,3,3,1,3,2,2,2,46,13-Nov-18,4,3,1,2,2,3,4,4,4,3,3,4,2,3,2,2,4,4,54,33
142,11-Oct-18,19,2,3,3,2,4,2,4,4,4,2,2,4,4,5,4,3,5,5,4,64,13-Nov-18,4,2,2,4,2,4,4,4,3,3,4,4,5,5,2,5,5,4,66,33
143,10-Oct-18,22,2,4,3,3,2,3,4,3,4,3,2,2,3,3,2,2,4,3,4,54,13-Nov-18,4,4,2,3,4,4,2,4,3,3,3,4,4,3,3,3,3,3,59,34
144,10-Oct-18,49,2,2,2,2,1,1,4,4,4,1,1,1,4,2,1,1,2,2,1,36,13-Nov-18,2,2,2,2,2,2,4,4,2,2,2,4,2,2,4,2,2,2,44,34
145,14-Oct-18,22,2,5,2,2,4,2,4,1,2,2,3,2,4,3,2,1,2,4,4,49,29-Nov-18,4,3,2,2,4,3,2,3,4,4,4,2,4,3,5,2,3,4,58,46
146,12-Oct-18,23,1,4,5,2,4,3,4,2,3,4,2,3,4,4,2,1,5,3,4,59,13-Nov-18,4,3,2,3,2,4,1,4,4,1,2,4,4,3,2,4,4,2,53,32
147,16-Oct-18,28,2,4,2,3,5,3,4,5,4,3,3,3,4,5,2,2,5,5,4,66,13-Nov-18,5,5,2,4,3,2,5,3,2,2,2,4,5,2,2,4,4,4,60,28
148,10-Oct-18,26,2,4,3,1,1,4,4,2,4,2,3,2,4,3,2,1,2,2,1,45,13-Nov-18,4,1,1,1,2,3,2,4,2,1,1,4,2,2,1,2,1,1,35,34
149,10-Oct-18,21,2,4,4,2,3,2,4,4,4,2,2,2,4,4,1,1,4,3,3,53,13-Nov-18,4,4,4,2,4,4,4,4,2,2,4,4,4,2,2,4,3,2,59,34
150,10-Oct-18,29,1,2,2,1,1,2,4,1,1,2,2,2,5,2,1,2,2,1,1,34,13-Nov-18,3,2,1,1,3,3,2,3,1,2,1,5,2,3,4,3,2,1,42,34
151,11-Oct-18,22,2,2,2,2,4,2,4,2,2,1,2,2,4,2,4,2,2,2,2,43,13-Nov-18,4,1,2,4,1,2,1,1,1,1,1,4,2,4,2,2,2,2,37,33
152,11-Oct-18,19,2,4,4,2,4,5,5,4,4,4,4,5,5,5,2,2,4,3,3,69,13-Nov-18,4,4,4,4,4,4,4,4,4,3,5,4,4,2,2,4,4,4,68,33
153,10-Oct-18,24,1,1,1,2,1,4,4,4,2,1,1,1,4,4,4,4,1,2,1,42,14-Nov-18,2,1,2,1,2,4,4,4,1,1,1,4,4,4,4,1,1,1,42,35
154,10-Oct-18,32,2,4,2,2,1,2,2,2,2,2,2,4,2,2,2,2,2,1,1,37,13-Nov-18,4,2,2,2,2,4,3,4,1,1,2,4,4,3,2,2,2,1,45,34
155,10-Oct-18,23,2,4,4,3,4,4,5,4,4,4,3,3,4,4,2,2,4,3,4,65,13-Nov-18,4,3,2,4,4,4,4,4,2,3,3,4,4,4,2,4,4,4,63,34
156,10-Oct-18,21,2,5,4,1,2,4,5,4,1,2,1,4,5,4,1,1,5,1,2,52,13-Nov-18,5,4,2,2,5,5,4,4,3,2,4,5,4,5,2,5,2,2,65,34
157,10-Oct-18,21,2,4,2,2,2,2,5,5,5,2,2,2,5,5,1,1,4,2,2,53,13-Nov-18,3,4,2,2,4,5,5,5,3,4,4,5,5,2,1,5,5,3,67,34
158,10-Oct-18,25,2,2,1,2,2,4,4,5,4,2,2,2,4,4,1,2,4,4,2,51,13-Nov-18,4,2,2,4,2,4,5,2,1,1,2,1,5,4,2,4,1,1,47,34
