ID,Gender,Age,DQ1,DQ2,DQ3R,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,D10,D11,D12,D13,D14,D15,D16,D17,D18,DQSCORE,Y_DOUBT
68,2,42,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,26,1
69,2,42,4,3,2,2,3,5,4,4,3,3,3,5,3,1,1,2,3,2,53,2
70,2,42,2,2,2,2,4,2,5,2,4,2,2,2,4,4,4,2,4,1,50,1
71,2,42,2,2,5,1,2,1,3,1,1,1,1,4,3,2,1,3,3,1,37,2
72,2,42,4,1,2,2,2,4,5,4,1,1,1,4,2,1,1,3,2,2,42,1
73,2,41,3,1,3,1,3,3,2,1,3,3,3,3,3,3,1,3,3,1,43,1
74,1,41,1,1,2,1,1,1,2,2,1,1,1,3,2,3,2,1,1,1,27,1
75,2,41,5,4,2,1,3,4,4,5,3,2,2,4,5,3,2,3,2,3,57,3
76,2,40,4,3,2,3,3,4,2,3,4,2,3,4,4,3,5,3,2,2,56,2
77,2,40,4,1,2,3,4,4,4,2,3,1,1,4,2,3,3,3,1,3,48,2
78,2,39,4,4,3,4,4,5,5,4,3,2,2,4,4,2,2,4,4,2,62,3
79,2,39,3,5,2,2,4,4,5,3,2,3,3,3,3,2,2,4,3,1,54,2
80,2,39,4,3,4,2,2,4,4,4,4,3,3,5,4,2,2,5,5,4,64,4
81,2,39,4,2,3,3,2,4,2,3,1,1,1,4,4,1,1,2,3,2,43,1
82,2,39,4,4,1,1,3,4,5,1,1,2,2,2,2,1,1,2,1,1,38,1
83,2,39,5,2,3,1,3,5,5,5,5,3,5,5,5,3,1,3,4,4,67,5
84,1,38,1,3,2,2,2,2,1,1,3,2,2,4,1,2,3,1,2,1,35,2
85,2,38,5,3,3,5,5,5,3,1,1,1,3,1,1,4,1,3,2,1,48,1
86,1,38,2,3,1,4,4,4,5,5,3,2,5,5,3,3,2,5,5,4,65,3
87,1,38,5,3,3,4,4,5,2,2,4,4,3,4,4,5,5,4,4,4,69,2
88,1,38,4,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,2,3,49,2
89,1,37,5,2,3,3,2,4,2,2,1,1,1,4,4,3,3,5,4,4,53,1
90,1,37,1,1,2,1,5,4,1,1,1,1,4,1,2,1,1,4,1,1,33,1
91,1,37,2,2,2,4,2,2,1,2,2,2,2,4,2,2,2,3,2,1,39,1
92,2,37,2,2,3,5,4,3,4,3,3,1,2,2,4,5,2,4,1,2,52,2
93,1,37,3,2,2,1,1,2,2,2,3,3,2,4,3,3,5,2,2,1,43,2
94,1,36,3,4,1,5,4,3,4,2,5,1,4,2,2,2,2,2,2,2,50,1
95,1,36,2,1,1,3,3,4,1,1,1,1,1,1,2,1,1,1,1,1,27,1
96,1,36,3,3,3,2,3,2,2,2,4,3,2,4,3,4,2,3,3,3,51,3
97,2,36,3,3,2,4,4,4,4,3,4,2,3,3,3,2,1,3,1,1,50,2
98,2,36,3,2,2,1,2,3,5,4,2,2,2,3,3,2,2,2,2,2,44,2
99,2,36,2,2,2,3,3,4,5,4,1,2,2,3,1,1,1,2,2,1,41,1
100,1,35,5,4,3,5,5,5,5,4,5,3,4,5,5,4,4,5,5,5,81,4
101,2,35,1,1,1,1,1,2,2,2,1,1,1,5,1,1,1,1,1,1,25,1
102,2,35,5,4,2,3,4,4,1,3,4,3,4,5,3,3,4,3,3,2,60,4
103,1,34,2,5,2,3,4,4,4,4,5,4,4,3,4,2,4,5,2,1,62,2
104,2,34,4,3,4,5,4,3,4,1,2,4,2,4,5,4,1,5,3,3,61,2
105,1,34,3,2,1,1,3,4,1,1,1,1,3,4,1,2,4,2,2,1,37,1
106,2,34,1,2,4,2,4,5,3,4,2,2,2,4,5,5,3,5,5,3,61,2
107,2,34,4,4,4,3,4,2,3,2,3,2,2,3,5,4,3,4,4,3,59,2
108,1,34,3,2,2,1,3,4,1,4,2,1,2,4,2,4,3,2,3,1,44,2
109,2,34,2,2,2,2,2,3,3,2,2,2,2,2,2,4,3,2,2,2,41,1
110,2,34,4,5,3,3,5,5,4,5,5,4,5,5,5,4,3,5,5,5,80,5
111,#NULL!,34,4,3,2,2,3,5,3,3,2,2,3,5,3,5,4,3,4,1,57,2
112,2,33,4,2,2,2,1,4,4,2,2,1,2,4,4,1,1,2,2,2,42,1
113,2,33,4,3,4,2,2,4,2,3,2,2,2,4,4,3,2,3,4,4,54,2
114,2,33,4,4,2,3,4,5,2,2,2,3,3,4,4,2,3,2,4,2,55,3
115,2,33,2,1,1,1,2,3,4,4,2,2,2,4,1,1,1,2,1,1,35,1
116,1,33,1,2,2,2,1,3,2,1,1,1,1,2,2,3,2,3,1,1,31,1
117,2,33,2,1,2,2,3,2,3,2,2,1,1,3,3,3,3,3,2,1,39,3
118,1,32,2,2,2,2,3,4,5,3,1,1,2,5,4,5,5,5,4,3,58,2
119,1,32,5,2,3,3,2,3,1,3,2,1,1,2,4,1,1,5,2,1,42,1
120,2,31,4,2,1,2,1,2,2,2,2,2,2,4,2,2,1,2,2,2,37,1
121,2,30,2,2,3,2,2,3,2,3,2,2,2,3,2,4,2,2,1,1,40,2
